0.100	44	800
0.100	44	3104
-0.100	45	30
4.800	45	45
0.100	45	225
0.100	45	801
0.100	45	3105
4.700	46	46
0.100	46	226
0.100	46	802
0.100	46	3106
8.000	47	47
0.100	47	227
0.100	47	236
0.100	47	803
0.100	47	812
0.100	47	3107
0.100	47	3116
0.100	48	3
0.100	48	12
1.000	48	48
0.100	48	192
0.100	48	768
0.100	48	3072
0.100	49	13
2.500	49	49
0.100	49	193
0.100	49	769
0.100	49	3073
0.100	50	14
2.500	50	50
0.100	50	194
0.100	50	770
0.100	50	3074
0.100	51	15
5.000	51	51
0.100	51	60
0.100	51	195
0.100	51	240
0.100	51	771
0.100	51	816
0.100	51	3075
0.100	51	3120
0.100	52	7
2.500	52	52
0.100	52	196
0.100	52	772
0.100	52	3076
4.700	53	53
0.100	53	197
0.100	53	773
0.100	53	3077
4.800	54	54
-0.100	54	57
0.100	54	198
0.100	54	774
0.100	54	3078
8.000	55	55
0.100	55	199
0.100	55	244
0.100	55	775
0.100	55	820
0.100	55	3079
0.100	55	3124
0.100	56	11
2.500	56	56
0.100	56	200
0.100	56	776
0.100	56	3080
-0.100	57	54
4.800	57	57
0.100	57	201
0.100	57	777
0.100	57	3081
4.700	58	58
0.100	58	202
0.100	58	778
0.100	58	3082
8.000	59	59
0.100	59	203
0.100	59	248
0.100	59	779
0.100	59	824
0.100	59	3083
0.100	59	3128
0.100	60	15
0.100	60	51
5.000	60	60
0.100	60	204
0.100	60	240
0.100	60	780
0.100	60	816
0.100	60	3084
0.100	60	3120
8.000	61	61
0.100	61	205
0.100	61	241
0.100	61	781
0.100	61	817
0.100	61	3085
0.100	61	3121
8.000	62	62
0.100	62	206
0.100	62	242
0.100	62	782
0.100	62	818
0.100	62	3086
0.100	62	3122
12.000	63	63
0.100	63	207
0.100	63	243
0.100	63	252
0.100	63	783
0.100	63	819
0.100	63	828
0.100	63	3087
0.100	63	3123
0.100	63	3132
0.700	65	65
0.800	66	66
-0.100	66	129
2.500	67	67
0.100	67	76
0.100	67	112
0.100	67	832
0.100	67	3136
0.700	68	68
2.100	69	69
2.300	70	70
-0.100	70	73
-0.100	70	133
4.700	71	71
0.100	71	116
0.100	71	836
0.100	71	3140
0.800	72	72
-0.100	72	132
-0.100	73	70
2.300	73	73
-0.100	73	133
2.300	74	74
-0.100	74	134
-0.100	74	137
4.800	75	75
0.100	75	120
-0.100	75	135
0.100	75	840
0.100	75	3144
0.100	76	67
2.500	76	76
0.100	76	112
0.100	76	832
0.100	76	3136
4.700	77	77
0.100	77	113
0.100	77	833
0.100	77	3137
4.800	78	78
0.100	78	114
-0.100	78	141
0.100	78	834
0.100	78	3138
8.000	79	79
0.100	79	115
0.100	79	124
0.100	79	835
0.100	79	844
0.100	79	3139
0.100	79	3148
0.700	80	80
2.100	81	81
2.300	82	82
-0.100	82	97
-0.100	82	145
4.700	83	83
0.100	83	92
0.100	83	848
0.100	83	3152
2.100	84	84
4.200	85	85
4.500	86	86
-0.100	86	89
-0.100	86	101
-0.100	86	149
7.600	87	87
0.100	87	852
0.100	87	3156
2.300	88	88
-0.100	88	100
-0.100	88	148
-0.100	89	86
4.500	89	89
-0.100	89	101
-0.100	89	149
4.600	90	90
-0.100	90	102
-0.100	90	105
-0.100	90	150
-0.100	90	153
7.800	91	91
-0.100	91	103
-0.100	91	151
0.100	91	856
0.100	91	3160
0.100	92	83
4.700	92	92
0.100	92	848
0.100	92	3152
7.600	93	93
0.100	93	849
0.100	93	3153
7.800	94	94
-0.100	94	109
-0.100	94	157
0.100	94	850
0.100	94	3154
11.700	95	95
0.100	95	851
0.100	95	860
0.100	95	3155
0.100	95	3164
0.800	96	96
-0.100	96	144
-0.100	97	82
2.300	97	97
-0.100	97	145
2.300	98	98
-0.100	98	146
-0.100	98	161
4.800	99	99
0.100	99	108
-0.100	99	147
0.100	99	864
0.100	99	3168
-0.100	100	88
2.300	100	100
-0.100	100	148
-0.100	101	86
-0.100	101	89
4.500	101	101
-0.100	101	149
-0.100	102	90
4.600	102	102
-0.100	102	105
-0.100	102	150
-0.100	102	165
-0.100	103	91
7.800	103	103
-0.100	103	151
0.100	103	868
0.100	103	3172
2.300	104	104
-0.100	104	152
-0.100	104	164
-0.100	105	90
-0.100	105	102
4.600	105	105
-0.100	105	153
-0.100	105	165
4.500	106	106
-0.100	106	154
-0.100	106	166
-0.100	106	169
7.800	107	107
-0.100	107	155
-0.100	107	167
0.100	107	872
0.100	107	3176
0.100	108	99
4.800	108	108
-0.100	108	156
0.100	108	864
0.100	108	3168
-0.100	109	94
7.800	109	109
-0.100	109	157
0.100	109	865
0.100	109	3169
7.800	110	110
-0.100	110	158
-0.100	110	173
0.100	110	866
0.100	110	3170
11.800	111	111
-0.100	111	159
0.100	111	867
0.100	111	876
0.100	111	3171
0.100	111	3180
0.100	112	67
0.100	112	76
2.500	112	112
0.100	112	832
0.100	112	3136
0.100	113	77
4.700	113	113
0.100	113	833
0.100	113	3137
0.100	114	78
4.800	114	114
-0.100	114	177
0.100	114	834
0.100	114	3138
0.100	115	79
8.000	115	115
0.100	115	124
0.100	115	835
0.100	115	880
0.100	115	3139
0.100	115	3184
0.100	116	71
4.700	116	116
0.100	116	836
0.100	116	3140
7.600	117	117
0.100	117	837
0.100	117	3141
7.800	118	118
-0.100	118	121
-0.100	118	181
0.100	118	838
0.100	118	3142
11.700	119	119
0.100	119	839
0.100	119	884
0.100	119	3143
0.100	119	3188
0.100	120	75
4.800	120	120
-0.100	120	180
0.100	120	840
0.100	120	3144
-0.100	121	118
7.800	121	121
-0.100	121	181
0.100	121	841
0.100	121	3145
7.800	122	122
-0.100	122	182
-0.100	122	185
0.100	122	842
0.100	122	3146
11.800	123	123
-0.100	123	183
0.100	123	843
0.100	123	888
0.100	123	3147
0.100	123	3192
0.100	124	79
0.100	124	115
8.000	124	124
0.100	124	844
0.100	124	880
0.100	124	3148
0.100	124	3184
11.700	125	125
0.100	125	845
0.100	125	881
0.100	125	3149
0.100	125	3185
11.800	126	126
-0.100	126	189
0.100	126	846
0.100	126	882
0.100	126	3150
0.100	126	3186
16.500	127	127
0.100	127	847
0.100	127	883
0.100	127	892
0.100	127	3151
0.100	127	3187
0.100	127	3196
-0.100	129	66
0.800	129	129
0.700	130	130
2.500	131	131
0.100	131	140
0.100	131	176
0.100	131	896
0.100	131	3200
-0.100	132	72
0.800	132	132
-0.100	133	70
-0.100	133	73
2.300	133	133
-0.100	134	74
2.300	134	134
-0.100	134	137
-0.100	135	75
4.800	135	135
0.100	135	180
0.100	135	900
0.100	135	3204
0.700	136	136
-0.100	137	74
-0.100	137	134
2.300	137	137
2.100	138	138
4.700	139	139
0.100	139	184
0.100	139	904
0.100	139	3208
0.100	140	131
2.500	140	140
0.100	140	176
0.100	140	896
0.100	140	3200
-0.100	141	78
4.800	141	141
0.100	141	177
0.100	141	897
0.100	141	3201
4.700	142	142
0.100	142	178
0.100	142	898
0.100	142	3202
8.000	143	143
0.100	143	179
0.100	143	188
0.100	143	899
0.100	143	908
0.100	143	3203
0.100	143	3212
-0.100	144	96
0.800	144	144
-0.100	145	82
-0.100	145	97
2.300	145	145
-0.100	146	98
2.300	146	146
-0.100	146	161
-0.100	147	99
4.800	147	147
0.100	147	156
0.100	147	912
0.100	147	3216
-0.100	148	88
-0.100	148	100
2.300	148	148
-0.100	149	86
-0.100	149	89
-0.100	149	101
4.500	149	149
-0.100	150	90
-0.100	150	102
4.600	150	150
-0.100	150	153
-0.100	150	165
-0.100	151	91
-0.100	151	103
7.800	151	151
0.100	151	916
0.100	151	3220
-0.100	152	104
2.300	152	152
-0.100	152	164
-0.100	153	90
-0.100	153	105
-0.100	153	150
4.600	153	153
-0.100	153	165
-0.100	154	106
4.500	154	154
-0.100	154	166
-0.100	154	169
-0.100	155	107
7.800	155	155
-0.100	155	167
0.100	155	920
0.100	155	3224
-0.100	156	108
0.100	156	147
4.800	156	156
0.100	156	912
0.100	156	3216
-0.100	157	94
-0.100	157	109
7.800	157	157
0.100	157	913
0.100	157	3217
-0.100	158	110
7.800	158	158
-0.100	158	173
0.100	158	914
0.100	158	3218
-0.100	159	111
11.800	159	159
0.100	159	915
0.100	159	924
0.100	159	3219
0.100	159	3228
0.700	160	160
-0.100	161	98
-0.100	161	146
2.300	161	161
2.100	162	162
4.700	163	163
0.100	163	172
0.100	163	928
0.100	163	3232
-0.100	164	104
-0.100	164	152
2.300	164	164
-0.100	165	102
-0.100	165	105
-0.100	165	150
-0.100	165	153
4.600	165	165
-0.100	166	106
-0.100	166	154
4.500	166	166
-0.100	166	169
